title,company,description,required_skills,experience_level
Software Engineer,TechCorp,"We are looking for a Software Engineer with experience in Python, JavaScript, React, and SQL. Knowledge of AWS and Docker is a plus. You will be responsible for developing and maintaining web applications, collaborating with cross-functional teams, and participating in code reviews.",python|javascript|react|sql|aws|docker|git|testing,Mid-level
Data Scientist,DataAnalytics Inc,"Seeking a Data Scientist with strong Python skills, machine learning experience, and SQL knowledge. TensorFlow/PyTorch experience required. You will analyze complex datasets, build predictive models, and communicate insights to stakeholders.",python|machine learning|sql|tensorflow|data analysis|statistics,Senior
Frontend Developer,WebSolutions,"Frontend Developer needed with expertise in JavaScript, React, HTML/CSS, and TypeScript. Experience with Git and modern build tools required. You will create responsive web applications and optimize user experience.",javascript|react|html|css|typescript|git|nodejs,Mid-level
Cloud Engineer,CloudSystems,"Cloud Engineer with AWS experience, Docker, Kubernetes, and Linux. Knowledge of CI/CD pipelines and infrastructure as code. You will design and maintain cloud infrastructure and ensure system reliability.",aws|docker|kubernetes|linux|ci/cd|python|monitoring,Senior
Full Stack Developer,StartupXYZ,"Full Stack Developer with Python/Node.js backend, React frontend, PostgreSQL, and AWS deployment experience. You will work on all aspects of application development from database to UI.",python|javascript|react|postgresql|aws|nodejs|html|css,Mid-level
DevOps Engineer,InfraTech,"DevOps Engineer experienced with CI/CD, Docker, Kubernetes, AWS, and monitoring tools. Strong Linux skills required. You will automate deployment processes and ensure system scalability.",ci/cd|docker|kubernetes|aws|linux|monitoring|git|python,Senior
Backend Engineer,ApiSolutions,"Backend Engineer with Python, SQL, REST APIs, and cloud experience. Knowledge of microservices architecture required. You will design and implement scalable backend services.",python|sql|aws|rest apis|microservices|docker|postgresql,Mid-level
Machine Learning Engineer,AITech,"ML Engineer with Python, TensorFlow/PyTorch, and cloud deployment experience. Strong math and statistics background required. You will build and deploy ML models at scale.",python|machine learning|tensorflow|aws|docker|sql|data analysis,Senior
Mobile App Developer,MobileFirst,"Mobile Developer with React Native or Flutter experience. JavaScript/TypeScript skills required. You will develop cross-platform mobile applications.",javascript|typescript|react native|flutter|mobile development|git,Mid-level
Data Engineer,DataFlow,"Data Engineer with Python, SQL, and big data technologies. Experience with data pipelines and cloud platforms required. You will build and maintain data infrastructure.",python|sql|aws|spark|data pipelines|etl|docker,Senior
